Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Adj Close Diff
2005-12-22,504900.0,504900.0,468180.0,489600.0,489600.0,-0.28865171321332456,,
2005-12-23,498780.0,566100.0,489600.0,523260.0,523260.0,-0.28865171321332456,6.875000000000009,33660.0
2005-12-27,535500.0,538560.0,504900.0,507960.0,507960.0,-0.28865171321332456,-2.92397660818714,-15300.0
2005-12-28,507960.0,507960.0,495720.0,501840.0,501840.0,-0.28865171321332456,-1.2048192771084376,-6120.0
2006-04-20,532440.0,535500.0,419220.0,422280.0,422280.0,-0.28865171321332456,-15.85365853658537,-79560.0
2006-04-21,428400.0,434520.0,425340.0,428400.0,428400.0,-0.28865171321332456,1.449275362318847,6120.0
2006-04-24,440640.0,449820.0,425340.0,434520.0,434520.0,-0.28865171321332456,1.4285714285714235,6120.0
2006-04-25,428400.0,443700.0,422280.0,425340.0,425340.0,-0.28865171321332456,-2.1126760563380254,-9180.0
2006-04-26,425340.0,425340.0,419220.0,419220.0,419220.0,-0.28865171321332456,-1.4388489208633115,-6120.0
2006-04-27,416160.0,419220.0,413100.0,416160.0,416160.0,-0.28865171321332456,-0.7299270072992692,-3060.0
2006-04-28,419220.0,422280.0,397800.0,406980.0,406980.0,-0.28865171321332456,-2.2058823529411797,-9180.0
2006-05-01,406980.0,416160.0,397800.0,416160.0,416160.0,-0.28865171321332456,2.2556390977443552,9180.0
2006-05-02,416160.0,419220.0,385560.0,397800.0,397800.0,-0.28865171321332456,-4.411764705882348,-18360.0
2006-05-03,397800.0,397800.0,385560.0,391680.0,391680.0,-0.28865171321332456,-1.538461538461533,-6120.0
2006-05-04,388620.0,422280.0,385560.0,422280.0,422280.0,-0.28865171321332456,7.8125,30600.0
2006-05-05,428400.0,434520.0,413100.0,413100.0,413100.0,-0.28865171321332456,-2.1739130434782594,-9180.0
2006-05-08,413100.0,416160.0,403920.0,413100.0,413100.0,-0.28865171321332456,0.0,0.0
2006-05-09,413100.0,413100.0,388620.0,394740.0,394740.0,-0.28865171321332456,-4.444444444444439,-18360.0
2006-05-10,394740.0,397800.0,388620.0,394740.0,394740.0,-0.28865171321332456,0.0,0.0
2006-05-11,394740.0,394740.0,382500.0,385560.0,385560.0,-0.28865171321332456,-2.3255813953488413,-9180.0
2006-05-12,382500.0,382500.0,358020.0,361080.0,361080.0,-0.28865171321332456,-6.349206349206349,-24480.0
2006-05-15,358020.0,370260.0,358020.0,361080.0,361080.0,-0.28865171321332456,0.0,0.0
2006-05-16,361080.0,397800.0,361080.0,385560.0,385560.0,-0.28865171321332456,6.779661016949157,24480.0
2006-05-17,382500.0,397800.0,379440.0,397800.0,397800.0,-0.28865171321332456,3.1746031746031855,12240.0
2006-05-18,394740.0,403920.0,376380.0,385560.0,385560.0,-0.28865171321332456,-3.076923076923077,-12240.0
2006-05-19,397800.0,397800.0,376380.0,385560.0,385560.0,-0.28865171321332456,0.0,0.0
2006-05-22,379440.0,379440.0,367200.0,376380.0,376380.0,-0.28865171321332456,-2.3809523809523836,-9180.0
2006-05-23,370260.0,370260.0,370260.0,370260.0,370260.0,-0.28865171321332456,-1.6260162601625994,-6120.0
2006-05-24,373320.0,376380.0,351900.0,364140.0,364140.0,-0.28865171321332456,-1.6528925619834656,-6120.0
2006-05-25,358020.0,367200.0,358020.0,364140.0,364140.0,-0.28865171321332456,0.0,0.0
2006-05-26,367200.0,370260.0,364140.0,367200.0,367200.0,-0.28865171321332456,0.8403361344537785,3060.0
2006-05-30,370260.0,370260.0,309060.0,339660.0,339660.0,-0.28865171321332456,-7.499999999999996,-27540.0
2006-05-31,351900.0,351900.0,312120.0,318240.0,318240.0,-0.28865171321332456,-6.3063063063063085,-21420.0
2006-06-01,312120.0,321300.0,281520.0,281520.0,281520.0,-0.28865171321332456,-11.538461538461542,-36720.0
2006-06-02,306000.0,309060.0,284580.0,306000.0,306000.0,-0.28865171321332456,8.695652173913038,24480.0
2006-06-05,299880.0,306000.0,299880.0,302940.0,302940.0,-0.28865171321332456,-1.0000000000000009,-3060.0
2006-06-06,299880.0,312120.0,299880.0,312120.0,312120.0,-0.28865171321332456,3.0303030303030276,9180.0
2006-06-07,306000.0,312120.0,306000.0,312120.0,312120.0,-0.28865171321332456,0.0,0.0
2006-06-08,312120.0,312120.0,296820.0,306000.0,306000.0,-0.28865171321332456,-1.9607843137254943,-6120.0
2006-06-09,306000.0,306000.0,306000.0,306000.0,306000.0,-0.28865171321332456,0.0,0.0
2006-06-12,299880.0,309060.0,296820.0,309060.0,309060.0,-0.28865171321332456,1.0000000000000009,3060.0
2006-06-13,306000.0,306000.0,281520.0,281520.0,281520.0,-0.28865171321332456,-8.910891089108908,-27540.0
2006-06-14,278460.0,278460.0,278460.0,278460.0,278460.0,-0.28865171321332456,-1.0869565217391353,-3060.0
2006-06-15,275400.0,281520.0,260100.0,281520.0,281520.0,-0.28865171321332456,1.098901098901095,3060.0
2006-06-16,284580.0,284580.0,284580.0,284580.0,284580.0,-0.28865171321332456,1.0869565217391353,3060.0
2006-06-19,284580.0,284580.0,275400.0,275400.0,275400.0,-0.28865171321332456,-3.2258064516129004,-9180.0
2006-06-20,275400.0,293760.0,269280.0,290700.0,290700.0,-0.28865171321332456,5.555555555555558,15300.0
2006-06-21,293760.0,315180.0,293760.0,306000.0,306000.0,-0.28865171321332456,5.263157894736836,15300.0
2006-06-22,306000.0,351900.0,302940.0,339660.0,339660.0,-0.28865171321332456,11.00000000000001,33660.0
2006-06-23,336600.0,336600.0,306000.0,306000.0,306000.0,-0.28865171321332456,-9.909909909909908,-33660.0
2006-06-26,327420.0,351900.0,321300.0,327420.0,327420.0,-0.28865171321332456,7.000000000000006,21420.0
2006-06-27,333540.0,339660.0,315180.0,318240.0,318240.0,-0.28865171321332456,-2.8037383177570097,-9180.0
2006-06-28,321300.0,333540.0,306000.0,318240.0,318240.0,-0.28865171321332456,0.0,0.0
2006-06-29,309060.0,318240.0,309060.0,318240.0,318240.0,-0.28865171321332456,0.0,0.0
2006-06-30,318240.0,333540.0,309060.0,315180.0,315180.0,-0.28865171321332456,-0.9615384615384581,-3060.0
2006-07-03,309060.0,312120.0,309060.0,312120.0,312120.0,-0.28865171321332456,-0.9708737864077666,-3060.0
2006-07-05,309060.0,312120.0,299880.0,309060.0,309060.0,-0.28865171321332456,-0.9803921568627416,-3060.0
2006-07-06,315180.0,321300.0,306000.0,306000.0,306000.0,-0.28865171321332456,-0.990099009900991,-3060.0
2006-07-07,309060.0,312120.0,306000.0,306000.0,306000.0,-0.28865171321332456,0.0,0.0
2006-07-10,306000.0,306000.0,275400.0,290700.0,290700.0,-0.28865171321332456,-5.000000000000004,-15300.0
2006-07-11,299880.0,299880.0,269280.0,272340.0,272340.0,-0.28865171321332456,-6.315789473684208,-18360.0
2006-07-12,275400.0,275400.0,247860.0,260100.0,260100.0,-0.28865171321332456,-4.49438202247191,-12240.0
2006-07-13,250920.0,275400.0,250920.0,275400.0,275400.0,-0.28865171321332456,5.882352941176472,15300.0
2006-07-14,250920.0,250920.0,229500.0,232560.0,232560.0,-0.28865171321332456,-15.555555555555555,-42840.0
2006-07-17,244800.0,257040.0,232560.0,257040.0,257040.0,-0.28865171321332456,10.526315789473696,24480.0
2006-07-18,250920.0,290700.0,250920.0,275400.0,275400.0,-0.28865171321332456,7.14285714285714,18360.0
2006-07-19,281520.0,281520.0,244800.0,253980.0,253980.0,-0.28865171321332456,-7.777777777777772,-21420.0
2006-07-20,272340.0,272340.0,244800.0,272340.0,272340.0,-0.28865171321332456,7.2289156626506035,18360.0
2006-07-21,235620.0,260100.0,235620.0,260100.0,260100.0,-0.28865171321332456,-4.49438202247191,-12240.0
2006-07-24,232560.0,253980.0,220320.0,220320.0,220320.0,-0.28865171321332456,-15.294117647058824,-39780.0
2006-07-25,220320.0,244800.0,220320.0,241740.0,241740.0,-0.28865171321332456,9.722222222222232,21420.0
2006-07-26,241740.0,250920.0,223380.0,235620.0,235620.0,-0.28865171321332456,-2.5316455696202556,-6120.0
2006-07-27,220320.0,235620.0,220320.0,220320.0,220320.0,-0.28865171321332456,-6.493506493506496,-15300.0
2006-07-28,223380.0,244800.0,223380.0,241740.0,241740.0,-0.28865171321332456,9.722222222222232,21420.0
2006-07-31,244800.0,272340.0,229500.0,266220.0,266220.0,-0.28865171321332456,10.126582278481022,24480.0
2006-08-01,275400.0,275400.0,247860.0,257040.0,257040.0,-0.28865171321332456,-3.4482758620689613,-9180.0
2006-08-02,244800.0,253980.0,220320.0,244800.0,244800.0,-0.28865171321332456,-4.761904761904767,-12240.0
2006-08-03,244800.0,269280.0,229500.0,229500.0,229500.0,-0.28865171321332456,-6.25,-15300.0
2006-08-04,244800.0,244800.0,232560.0,241740.0,241740.0,-0.28865171321332456,5.333333333333323,12240.0
2006-08-07,241740.0,284580.0,232560.0,284580.0,284580.0,-0.28865171321332456,17.721518987341778,42840.0
2006-08-08,290700.0,290700.0,260100.0,266220.0,266220.0,-0.28865171321332456,-6.451612903225811,-18360.0
